,title,date
0,Unhealthy Heart May Be Bigger Threat to Women's Brains Than Men's,"January 6, 2022"
1,Aduhelm: Will Medicare Cover the Controversial Alzheimer's Drug?,"January 7, 2022"
2,"Exercise may protect your brain even if you have signs of dementia, study finds","January 10, 2022"
3,Scientists Work Out How Exercise Saves Your Brain,"January 10, 2022"
4,Alzheimer’s Association Statement on CMS Draft Decision,"January 11, 2022"
5,CMS: Alzheimer's Patients Must Be Enrolled in Clinical Trial to Take Aduhelm,"January 12, 2022"
6,Medicare considers covering expensive Alzheimer's drug for those in clinical trials,"January 12, 2022"
7,Advocates weigh in on Medicare decision on new Alzheimer’s drug,"January 13, 2022"
8,"Biomarkers Say COVID-19 Brain Damage Is Like Alzheimer’s, But Faster","January 18, 2022"
9,The Alzheimer's Association and The Joint Commission collaborate to improve quality and safety in dementia care,"January 20, 2022"
10,"Alzheimer’s Association, Joint Commission launch effort to improve memory care in assisted living, nursing homes","January 21, 2022"
11,Alzheimer's patient groups protest U.S. Medicare coverage proposal limiting use of new drugs,"January 21, 2022"
12,‘People with Alzheimer’s Should Have the Same Opportunities as People with Other Diseases’,"January 24, 2022"
13,The Importance of Early Detection of Alzheimer’s Disease,"January 26, 2022"
14,Alzheimer's Association Funds Research Exploring Family Caregiving Styles,"February 1, 2022"
15,"2022 Cure One, Cure Many $3M Award Goes to Mayo Clinic Researchers","February 10, 2022"
16,Alzheimer’s: Addressing sleep disturbance may alleviate symptoms,"February 11, 2022"
17,Can Popular Diets Make Your Brain Healthier?,"February 13, 2022"
18,I'm a Doctor and Here's the #1 Sign You Have Alzheimer's,"February 13, 2022"
19,This Common Habit Makes Your Alzheimer's Risk Soar,"February 14, 2022"
20,COVID-19 and dementia: Are scientists concerned?,"February 25, 2022"
21,Staying Fit May Keep Alzheimer's at Bay,"February 28, 2022"
22,"Deaths among Alzheimer's patients surged 26% during first year of pandemic, study says","February 28, 2022"
23,Study identifies 10 factors linked to Alzheimer’s risk,"March 1, 2022"
24,Cognitive Effects Persist in Older COVID Patients,"March 8, 2022"
25,"Alzheimer's Association, National Academy of Neuropsychology Fund Research Exploring COVID-19's Impact on the Brain in Diverse Populations","March 8, 2022"
26,"Black Patients Are Less Likely to Receive a Timely Dementia Diagnosis, Despite Having the Highest Risk","March 8, 2022"
27,Congress Agrees on $289 Million Alzheimer’s Research Funding Increase and Robust Investment in Alzheimer’s Public Health Infrastructure,"March 9, 2022"
28,The Impact of COVID on People with Dementia,"March 10, 2022"
29,How COVID Has Impacted Chronic Disease,"March 10, 2022"
30,'Alzheimer's disease is the only illness where the person passes away twice.' Latino caregivers say they're facing more barriers,"March 13, 2022"
31,"Increase in Federal Alzheimer's and Dementia Research Funding, BOLD Infrastructure for Alzheimer's Act Signed Into Law","March 14, 2022"
32,New funding for dementia research coming in $1.5 trillion omnibus bill,"March 14, 2022"
33,New Alzheimer’s Association Report Finds Doctors and the Public Face Challenges in Understanding and Distinguishing Early Alzheimer’s Development from 'Normal Aging',"March 15, 2022"
34,Is It 'Pre-Alzheimer's' or Normal Aging? Poll Finds Many Americans Unclear,"March 15, 2022"
35,"Report: Up to 18% of adults over 60 have early stages of memory loss, cognitive problems","March 15, 2022"
36,Most people don't know these possible signs of early Alzheimer's,"March 15, 2022"
37,Why it’s Important for More Americans to Know About Mild Cognitive Impairment,"March 16, 2022"
38,One big reason why Alzheimer’s might be going undetected in the US,"March 16, 2022"
39,This form of memory loss is common — but most Americans don't know about it,"March 18, 2022"
40,Why African Americans are at higher risk for Alzheimer’s—and what you can do about it,"March 27, 2022"
41,Latinos and Alzheimer's,"March 28, 2022"
42,Could lithium protect against dementia?,"March 28, 2022"
43,"Adults, Doctors in US Struggle to Tie Cognitive Problems to Alzheimer’s","March 29, 2022"
44,What to Do When a Loved One Receives a Late Alzheimer’s Diagnosis,"April 4, 2022"
45,Alzheimer’s Association Disappointed by Medicare Coverage Policy for FDA-Approved Alzheimer’s Disease Treatments,"April 7, 2022"
46,"Medicare has decided to sharply limit coverage of Aduhelm, a new Alzheimer drug","April 8, 2022"
47,‘People with Alzheimer’s Should Have the Same Opportunities as People with Other Diseases’,"April 8, 2022"
48,Could Some Rheumatoid Arthritis Meds Help Lower Alzheimer's Risk?,"April 12, 2022"
49,Podcast: The future of brain health with Percy Griffin,"April 12, 2022"
50,Alzheimer’s study reveals 42 new genes that may drive risk,"April 20, 2022"
51,Race Plays Huge Role in Dementia Risk,"April 20, 2022"
52,'Good' cholesterol may decrease your risk of Alzheimer's disease,"April 20, 2022"
53,Unlocking the Christchurch Variant,"April 21, 2022"
54,Around the Table with Cameron Hamilton,"April 21, 2022"
55,The Sound of Support,"April 21, 2022"
56,"Lauren Alaina: ‘Be Brave, Be Strong’","April 21, 2022"
